"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Christchurch Central","Papanui","Papanui Primary School, 40 Winters Road","Regular",1,1,0,2,0,16,0,97,0,1,156,25,0,0,9,0,308,1
"Christchurch Central","Papanui","Paparoa Street School, 120 Paparoa Street","Regular",5,1,0,0,0,45,0,191,0,2,463,13,0,0,28,0,748,0
"Christchurch Central","Papanui","St Joseph's School Hall, 4 Vagues Road","Regular",2,0,0,1,0,18,0,81,0,0,109,17,0,0,13,0,241,0
"Christchurch Central","Papanui","St Paul's Anglican Church Parish Hall, 1 Harewood Road","Regular",0,0,0,0,0,2,0,32,0,3,50,9,0,0,2,0,98,1
"Christchurch Central","Papanui","Waimairi School Hall, 1 Tillman Avenue","Regular",0,0,0,0,0,4,0,7,0,0,12,0,0,0,0,0,23,0
"Christchurch Central","Phillipstown","Phillipstown Community Centre, 39a Nursery Road","Regular",3,1,0,1,1,50,0,234,0,1,94,42,0,0,17,0,444,2
"Christchurch Central","Redwood","Northcote School, 26 Tuckers Road","Regular",1,4,0,0,0,10,0,131,0,2,138,16,1,0,7,0,310,1
"Christchurch Central","Redwood","Redwood Play Centre, 40 Dunedin Street","Regular",1,1,1,1,0,6,0,126,0,2,128,19,0,0,8,0,293,1
"Christchurch Central","Redwood","Redwood School Kereru Room, 51 Prestons Road","Regular",4,3,3,1,0,38,0,383,0,0,472,54,0,1,19,2,980,2
"Christchurch Central","Redwood","St Lukes Community Hall, 278 Main North Road","Regular",1,1,0,2,0,9,0,155,0,2,161,27,0,0,11,0,369,0
"Christchurch Central","Riccarton","Wharenui School Library, 32 Matipo Street","Regular",0,2,0,1,0,6,0,12,0,0,16,1,0,0,2,0,40,0
"Christchurch Central","Richmond","Avebury House, 9 Evelyn Couzins Avenue","Regular",0,0,0,0,0,4,0,10,0,0,3,2,0,0,2,0,21,0
"Christchurch Central","Richmond","Kidsfirst Kindergartens Richmond, 41 North Avon Road","Regular",0,0,0,0,0,6,0,36,0,1,29,8,0,0,1,0,81,1
"Christchurch Central","Shirley","EduKids Marshland Childcare, 68 Marshland Road","Regular",0,0,0,0,0,1,0,15,0,0,10,0,0,0,2,0,28,0
"Christchurch Central","Shirley","Kidsfirst Kindergartens, MacFarlane Park, 19 Acheson Avenue","Regular",0,0,0,0,0,5,0,21,0,0,4,4,0,0,0,0,34,0
"Christchurch Central","Shirley","Shirley Intermediate School Hall, 60 Shirley Road","Regular",0,0,0,0,0,2,0,20,0,0,16,4,0,0,0,0,42,0
"Christchurch Central","Shirley","Shirley Primary School, 11 Shirley Road","Regular",2,1,1,2,0,26,0,132,0,0,97,19,0,0,10,0,290,0
"Christchurch Central","Somerfield","Somerfield School, 42 Studholme Street","Regular",0,0,0,0,0,4,0,15,1,0,7,3,0,0,1,0,31,0
"Christchurch Central","Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street","Regular",0,1,0,0,0,11,0,50,0,0,22,10,0,0,2,1,97,0
"Christchurch Central","Spreydon","St Martins Church, Neave Room, 50 Lincoln Road","Regular",0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,7,0
"Christchurch Central","Spreydon","St Nicholas Church Hall, 231 Barrington Street","Regular",0,0,0,0,0,4,0,7,0,0,5,1,0,0,2,0,19,0
"Christchurch Central","St Albans","Beulah Church, 140 Springfield Road","Regular",2,1,0,7,0,56,0,255,0,3,342,43,0,0,23,4,736,2
"Christchurch Central","St Albans","Blind Foundation, 96 Bristol Street","Regular",2,2,0,0,0,18,0,85,0,0,158,17,0,1,4,0,287,0
"Christchurch Central","St Albans","Rehua Marae, Whare Kai (Dining Room), 79 Springfield Road","Regular",1,1,0,0,0,44,0,86,1,2,78,16,0,0,9,0,238,1
